Date,Code,Name,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjusted Price
9-Jan-26,HAFR,Home Afrika Ltd,0.48,1.93,1.29,1.38,1.32,1.33,-0.01,-0.75%,180682,-
9-Jan-26,KURV,Kurwitu Ventures Ltd,1400,1500,1500,1500,1500,1500,-,-,-,-
9-Jan-26,OCH,Olympia Capital Holdings Ltd,3.12,9,7.64,8.48,8.36,8.48,-0.12,-1.42%,7031,-
9-Jan-26,TCL,Trans-Century Plc,0.71,1.42,0.71,0.71,0.71,0.71,-,-,-,-
9-Jan-26,NSE,Nairobi Securities Exchange Plc,6.5,25.9,20,20.5,20.3,20.05,0.25,1.25%,293254,-
9-Jan-26,AMAC,Africa Mega Agricorp Plc,51,118.25,63.5,63.5,70.5,70.5,-,-,50,-
9-Jan-26,BOC,BOC Kenya Plc,76,150,130,133,130,133,-3,-2.26%,321,-
9-Jan-26,BAT,British American Tobacco Kenya Plc,345,629,465,469,467.75,467.25,0.5,0.11%,3570,-
9-Jan-26,CARB,Carbacid Investments Plc,18,33,28.5,29.6,29,29.2,-0.2,-0.68%,65286,-
9-Jan-26,EABL,East African Breweries Ltd,167,351,255,265,255.25,264.5,-9.25,-3.50%,126125,-
9-Jan-26,FTGH,Flame Tree Group Holdings Ltd,1.05,3.11,1.7,1.74,1.7,1.72,-0.02,-1.16%,67761,-
9-Jan-26,MSC,Mumias Sugar Company Ltd,0.27,0.27,0.27,0.27,0.27,0.27,-,-,-,-
9-Jan-26,SKL,Shri Krishana Overseas Plc,5.8,12,8,8.2,8.08,8.16,-0.08,-0.98%,1742,-
9-Jan-26,UNGA,Unga Group Ltd,18.05,34,22.1,25,24.4,22.85,1.55,6.78%,9099,-
9-Jan-26,SCOM,Safaricom Plc,17,34.2,28.7,29.45,29.1,29.15,-0.05,-0.17%,13483078,-
9-Jan-26,LAPR,LAPTrust Imara Income-REIT,20,20,20,20,20,20,-,-,-,-
9-Jan-26,GLD,ABSA NewGold ETF,881,9800,5375,5630,5380,5420,-40,-0.74%,117,-
9-Jan-26,SMWF,Satrix MSCI World Feeder ETF,755,1050,830,890,874,874,-,-,41,-
9-Jan-26,^N10I,NSE 10-Share Index,1250.85,2271.75,2022.61,2022.61,2022.61,2032.54,-9.93,-0.49%,-,-
9-Jan-26,^N20I,NSE 20-Share Index,2092.84,3758.73,3233.75,3233.75,3233.75,3221.29,12.46,0.39%,-,-
9-Jan-26,^N25I,NSE 25-Share Index,3314.15,5948.29,5245.74,5245.74,5245.74,5264.11,-18.37,-0.35%,-,-
9-Jan-26,^NASI,NSE All-Share Index,123.6,216.69,191.87,191.87,191.87,192.08,-0.21,-0.11%,-,-
9-Jan-26,^NBSI,NSE Banking Sector Index,149.92,245.9,211.72,211.72,211.72,211.42,0.3,0.14%,-,-
9-Jan-26,^NBDI,NSE Bonds Index,1140.96,1210.41,1157.65,1157.65,1157.65,1151.59,6.06,0.53%,-,-
9-Jan-26,^ZKEQTK,Zamara Kenya Equity Index (KES),2424.57,4790.09,4185.44,4185.44,4185.44,4190.49,-5.05,-0.12%,-,-
9-Jan-26,^ZKEQTU,Zamara Kenya Equity Index (USD),1610.77,3197.11,2794.62,2794.62,2794.62,2797.99,-3.37,-0.12%,-,-
12-Jan-26,EGAD,Eaagads Ltd,11,35.25,19.3,20.3,19.2,19.2,-,-,56,-
12-Jan-26,KUKZ,Kakuzi Plc,365,440,405,405,402.75,402.75,-,-,1,-
12-Jan-26,KAPC,Kapchorua Tea Kenya Plc,198,424.25,236,238,236.5,237.5,-1,-0.42%,1272,-
12-Jan-26,LIMT,Limuru Tea Plc,295,555,440,460,460,460,-,-,2,-
12-Jan-26,SASN,Sasini Plc,13.3,33.9,19,29.95,19.75,18.1,1.65,9.12%,30111,-
12-Jan-26,WTK,Williamson Tea Kenya Plc,136,350,149,155,151,149.5,1.5,1.00%,3764,-
12-Jan-26,CGEN,Car and General (K) Ltd,19.8,74.25,56,59.75,57.5,57.25,0.25,0.44%,889,-
12-Jan-26,ABSA,ABSA Bank Kenya Plc,15,33,25.3,26,25.7,25.55,0.15,0.59%,2483805,-
12-Jan-26,BKG,BK Group Plc,28.75,50,40.35,43.95,43.7,42.95,0.75,1.75%,298,-
12-Jan-26,COOP,Co-operative Bank of Kenya Ltd,13.8,31.5,25.5,26.25,26,25.95,0.05,0.19%,1441504,-
12-Jan-26,DTK,Diamond Trust Bank Kenya Ltd,66,170,116.5,118,117,116.5,0.5,0.43%,103775,-
12-Jan-26,EQTY,Equity Group Holdings Plc,41.2,80,69.25,69.75,69.5,69.5,-,-,89540,-
